fasta order,tip_labels,tip_labels_xx,processid,species,species_name_tidy,species_name_barcode_gap,Locality,Source_type,Genus,family,order,sampleid,bin_uri,genus_name,species_name,country,region,tip_labels_previous,new_names_public,new_names_NZ,new_labels
235,NZPLR039_11|Keratella_cochlearis,NZPLR039-11|Keratella_cochlearis,NZPLR039-11,Keratella-tecta,Keratella tecta,Keratella cochlearis,Knighton Lake,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAZ5138,NA,NA,NA,NA,NZPLR039-11_Keratella-tecta_Knighton_Lake,Keratella-tecta (NA)(NZPLR039-11)(NA),Keratella-tecta (NZPLR039-11)(Knighton Lake),Keratella-tecta (NZPLR039-11)(Knighton Lake)
249,NZPLR075_11|Keratella_tropica,NZPLR075-11|Keratella_tropica,NZPLR075-11,Keratella-tropica,Keratella tropica,Keratella tropica,Turtle Lake,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAU3067,NA,NA,NA,NA,NZPLR075-11_Keratella-tropica_Turtle_Lake,Keratella-tropica (NA)(NZPLR075-11)(NA),Keratella-tropica (NZPLR075-11)(Turtle Lake),Keratella-tropica (NZPLR075-11)(Turtle Lake)
250,NZPLR076_11|Keratella_tropica,NZPLR076-11|Keratella_tropica,NZPLR076-11,Keratella-tropica,Keratella tropica,Keratella tropica,Turtle Lake,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAU3067,NA,NA,NA,NA,NZPLR076-11_Keratella-tropica_Turtle_Lake,Keratella-tropica (NA)(NZPLR076-11)(NA),Keratella-tropica (NZPLR076-11)(Turtle Lake),Keratella-tropica (NZPLR076-11)(Turtle Lake)
251,NZPLR078_11|Keratella_cochlearis,NZPLR078-11|Keratella_cochlearis,NZPLR078-11,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,Turtle Lake,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAZ5138,NA,NA,NA,NA,NZPLR078-11_Keratella-cochlearis_Turtle_Lake,Keratella-cochlearis (NA)(NZPLR078-11)(NA),Keratella-cochlearis (NZPLR078-11)(Turtle Lake),Keratella-cochlearis (NZPLR078-11)(Turtle Lake)
253,NZPLR108_11|Keratella_cochlearis,NZPLR108-11|Keratella_cochlearis,NZPLR108-11,Keratella-tecta,Keratella tecta,Keratella cochlearis,Jubilee Pond,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAZ5138,NA,NA,NA,NA,NZPLR108-11_Keratella-tecta_Jubilee_Pond,Keratella-tecta (NA)(NZPLR108-11)(NA),Keratella-tecta (NZPLR108-11)(Jubilee Pond),Keratella-tecta (NZPLR108-11)(Jubilee Pond)
254,NZPLR109_11|Keratella_cochlearis,NZPLR109-11|Keratella_cochlearis,NZPLR109-11,Keratella-tecta,Keratella tecta,Keratella cochlearis,Jubilee Pond,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAZ5138,NA,NA,NA,NA,NZPLR109-11_Keratella-tecta_Jubilee_Pond,Keratella-tecta (NA)(NZPLR109-11)(NA),Keratella-tecta (NZPLR109-11)(Jubilee Pond),Keratella-tecta (NZPLR109-11)(Jubilee Pond)
255,NZPLR111_11|Keratella_cochlearis,NZPLR111-11|Keratella_cochlearis,NZPLR111-11,Keratella-tecta,Keratella tecta,Keratella cochlearis,Jubilee Pond,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAZ5138,NA,NA,NA,NA,NZPLR111-11_Keratella-tecta_Jubilee_Pond,Keratella-tecta (NA)(NZPLR111-11)(NA),Keratella-tecta (NZPLR111-11)(Jubilee Pond),Keratella-tecta (NZPLR111-11)(Jubilee Pond)
259,NZPLR178_12|Keratella_procurva,NZPLR178-12|Keratella_procurva,NZPLR178-12,Keratella-procurva,Keratella procurva,Keratella procurva,Turtle Lake,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAM5102,NA,NA,NA,NA,NZPLR178-12_Keratella-procurva_Turtle_Lake,Keratella-procurva (NA)(NZPLR178-12)(NA),Keratella-procurva (NZPLR178-12)(Turtle Lake),Keratella-procurva (NZPLR178-12)(Turtle Lake)
308,NZPLR246_13|Keratella_tropica,NZPLR246-13|Keratella_tropica,NZPLR246-13,Keratella-tropica,Keratella tropica,Keratella tropica,Lake Cameron,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAW0344,NA,NA,NA,NA,NZPLR246-13_Keratella-tropica_Lake_Cameron,Keratella-tropica (NA)(NZPLR246-13)(NA),Keratella-tropica (NZPLR246-13)(Lake Cameron),Keratella-tropica (NZPLR246-13)(Lake Cameron)
327,NZPLR373_14|Keratella_tropica,NZPLR373-14|Keratella_tropica,NZPLR373-14,Keratella-tropica,Keratella tropica,Keratella tropica,Hamilton Zoo Ponds,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAW0344,NA,NA,NA,NA,NZPLR373-14_Keratella-tropica_Hamilton_Zoo_Ponds,Keratella-tropica (NA)(NZPLR373-14)(NA),Keratella-tropica (NZPLR373-14)(Hamilton Zoo Ponds),Keratella-tropica (NZPLR373-14)(Hamilton Zoo Ponds)
111,NZPL525_12|Lecane_luna,NZPL525-12|Lecane_luna,NZPL525-12,Lecane-luna,Lecane luna,Lecane luna,Albany Pond,DS-NZROT,Lecane,Lecanidae,Ploima,NA,BOLD:ABU8861,NA,NA,NA,NA,NZPL525-12_Lecane-luna_Albany_Pond,Lecane-luna (NA)(NZPL525-12)(NA),Lecane-luna (NZPL525-12)(Albany Pond),Lecane-luna (NZPL525-12)(Albany Pond)
113,NZPL528_12|Lecane_decipiens,NZPL528-12|Lecane_decipiens,NZPL528-12,Lecane-decipiens,Lecane decipiens,Lecane decipiens,Kahikatea Pond,DS-NZROT,Lecane,Lecanidae,Ploima,NA,BOLD:ABU8977,NA,NA,NA,NA,NZPL528-12_Lecane-decipiens_Kahikatea_Pond,Lecane-decipiens (NA)(NZPL528-12)(NA),Lecane-decipiens (NZPL528-12)(Kahikatea Pond),Lecane-decipiens (NZPL528-12)(Kahikatea Pond)
114,NZPL529_12|Lecane_decipiens,NZPL529-12|Lecane_decipiens,NZPL529-12,Lecane-decipiens,Lecane decipiens,Lecane decipiens,Kahikatea Pond,DS-NZROT,Lecane,Lecanidae,Ploima,NA,BOLD:ABU8977,NA,NA,NA,NA,NZPL529-12_Lecane-decipiens_Kahikatea_Pond,Lecane-decipiens (NA)(NZPL529-12)(NA),Lecane-decipiens (NZPL529-12)(Kahikatea Pond),Lecane-decipiens (NZPL529-12)(Kahikatea Pond)
116,NZPL540_12|Lecane_bulla,NZPL540-12|Lecane_bulla,NZPL540-12,Lecane-bulla,Lecane bulla,Lecane bulla,Stagnant Pond,DS-NZROT,Lecane,Lecanidae,Ploima,NA,BOLD:ABV4669,NA,NA,NA,NA,NZPL540-12_Lecane-bulla_Stagnant_Pond,Lecane-bulla (NA)(NZPL540-12)(NA),Lecane-bulla (NZPL540-12)(Stagnant Pond),Lecane-bulla (NZPL540-12)(Stagnant Pond)
129,NZPL561_12|Lecane_lunaris,NZPL561-12|Lecane_lunaris,NZPL561-12,Lecane-lunaris,Lecane lunaris,Lecane lunaris,Lake Tarawera,DS-NZROT,Lecane,Lecanidae,Ploima,NA,BOLD:ABU8293,NA,NA,NA,NA,NZPL561-12_Lecane-lunaris_Lake_Tarawera,Lecane-lunaris (NA)(NZPL561-12)(NA),Lecane-lunaris (NZPL561-12)(Lake Tarawera),Lecane-lunaris (NZPL561-12)(Lake Tarawera)
144,NZPL861_17|Lecane_bulla,NZPL861-17|Lecane_bulla,NZPL861-17,Lecane-bulla,Lecane bulla,Lecane bulla,Lake Clearwater,DS-NZROT,Lecane,Lecanidae,Ploima,NA,BOLD:ABV4669,NA,NA,NA,NA,NZPL861-17_Lecane-bulla_Lake_Clearwater,Lecane-bulla (NA)(NZPL861-17)(NA),Lecane-bulla (NZPL861-17)(Lake Clearwater),Lecane-bulla (NZPL861-17)(Lake Clearwater)
145,NZPL862_17|Lecane_bulla,NZPL862-17|Lecane_bulla,NZPL862-17,Lecane-bulla,Lecane bulla,Lecane bulla,Lake Clearwater,DS-NZROT,Lecane,Lecanidae,Ploima,NA,BOLD:ABV4669,NA,NA,NA,NA,NZPL862-17_Lecane-bulla_Lake_Clearwater,Lecane-bulla (NA)(NZPL862-17)(NA),Lecane-bulla (NZPL862-17)(Lake Clearwater),Lecane-bulla (NZPL862-17)(Lake Clearwater)
146,NZPL863_17|Lecane_bulla,NZPL863-17|Lecane_bulla,NZPL863-17,Lecane-bulla,Lecane bulla,Lecane bulla,Lake Clearwater,DS-NZROT,Lecane,Lecanidae,Ploima,NA,BOLD:ABV4669,NA,NA,NA,NA,NZPL863-17_Lecane-bulla_Lake_Clearwater,Lecane-bulla (NA)(NZPL863-17)(NA),Lecane-bulla (NZPL863-17)(Lake Clearwater),Lecane-bulla (NZPL863-17)(Lake Clearwater)
147,NZPL864_17|Lecane_lunaris,NZPL864-17|Lecane_lunaris,NZPL864-17,Lecane-lunaris,Lecane lunaris,Lecane lunaris,Lake Hawea,DS-NZROT,Lecane,Lecanidae,Ploima,NA,BOLD:ADH4191,NA,NA,NA,NA,NZPL864-17_Lecane-lunaris_Lake_Hawea,Lecane-lunaris (NA)(NZPL864-17)(NA),Lecane-lunaris (NZPL864-17)(Lake Hawea),Lecane-lunaris (NZPL864-17)(Lake Hawea)
149,NZPL868_17|Lecane_lunaris,NZPL868-17|Lecane_lunaris,NZPL868-17,Lecane-lunaris,Lecane lunaris,Lecane lunaris,Lake Hawea,DS-NZROT,Lecane,Lecanidae,Ploima,NA,BOLD:ADH4191,NA,NA,NA,NA,NZPL868-17_Lecane-lunaris_Lake_Hawea,Lecane-lunaris (NA)(NZPL868-17)(NA),Lecane-lunaris (NZPL868-17)(Lake Hawea),Lecane-lunaris (NZPL868-17)(Lake Hawea)
